SampleID,Location,Date,Time,Temp,Salinity,DO,DO%,pH,Turbidity,TotalN,TotalP,Phosphate,Silicate,NNN,NH4
RPO160614,RPO,06/14/16,08:03,25.7,33.3,6.86,102.1,8.11,13.9,311.07,26.26,18.72,1697.47,233.11,2.81
RKS160614,RKS,06/14/16,08:37,24.9,23.8,6.86,100.6,8.07,16.8,75.08,18.8,9.06,1720.37,5.65,4.15
RAB160614,RAB,06/14/16,09:15,26.8,35,6.72,101.6,8.06,2.62,91.26,10.73,8.46,604.37,24.72,1.88
RCB160614,RCB,06/14/16,09:50,27.2,34.7,6.78,103.5,8.06,5.86,117.22,16.68,9.4,576.28,49.04,2.27
RWA160614,RWA,06/14/16,10:24,27.3,34.6,6.66,101.8,8.15,3.47,,,,,,
PFF160615,PFF,06/15/16,07:37,26.7,27.8,6.27,94.7,8.05,2.86,65.9,17.64,7.82,461.59,2.7,1.84
OCO160616,OCO,06/15/16,07:45,,,,,,,78.22,10.8,7.56,330.61,5.91,2.74
PLH160615,PLH,06/15/16,08:28,26.8,28.1,6.57,99.6,7.99,2.8,90.04,14.32,6.22,169.92,2.79,2.89
PLT160615,PLT,06/15/16,08:59,27.2,28.2,6.72,102.4,8.09,2.91,72.13,11,5.58,125.36,4.24,2.57
RWA160614,RWA,06/15/16,10:24,,,,,,,84.6,24.07,12.38,822.08,21.35,
OSF160615,OSF,06/15/16,10:42,27.4,29.6,6.94,106.1,8.11,1.19,71.07,14.41,4.85,72.9,4.07,2.8
OCO160615,OCO,06/16/16,07:45,25.3,29.3,6.86,101.2,7.96,23.33,,,,,,
OMM160616,OMM,06/16/16,08:20,25.4,27.7,6.61,97.8,7.91,5.48,107.57,15.37,7.28,451.55,7.11,8.69
OUB160616,OUB,06/16/16,09:00,25.2,28.1,7,103.1,8.06,16.87,63.47,16.77,6.34,112.01,2.64,1.79
OPB160616,OPB,06/16/16,09:17,25.6,28,7.1,105.2,8.08,10.71,66.16,20.47,5.71,137.9,2.84,1.92
OPP160616,OPP,06/16/16,10:00,26,36,7.01,104.6,8.07,5.37,122.85,20.4,6.52,145.4,3.26,4.45
RPO160628,RPO,06/28/16,07:25,25.7,26.4,6.71,100,8.09,11.73,332.98,24.8,18.29,1621.15,259.15,5.43
RKS160628,RKS,06/28/16,07:54,24.2,22.2,6.9,100.3,8.13,9.79,75.12,14.77,8.49,1435.92,6.13,3.59
RAB160628,RAB,06/28/16,08:22,26.4,27.6,6.59,99.3,8.1,1.77,90.93,16.97,8.28,510.71,26.44,2.59
RCB160628,RCB,06/28/16,08:46,26.2,28.2,6.81,103,8.09,3.44,121.25,18.89,9.13,649.57,57.28,3.2
RWA160628,RWA,06/28/16,09:06,26.9,27.9,6.77,103,8.13,3.13,,,,,,
PFF160629,PFF,06/29/16,07:43,27,30.1,6.34,96.5,7.98,1.65,63.47,15.83,6.8,317.31,2.06,2.91
PLH160629,PLH,06/29/16,08:24,27.2,29.1,6.29,96,8.04,3.43,65.05,15.92,7.83,245.7,5.67,2.24
PLT160629,PLT,06/29/16,08:50,27.3,28.9,6.21,95,8.02,1.98,72.79,15.9,6.78,217.71,6.28,3.17
RWA160628,RWA,06/29/16,09:06,,,,,,,83.6,20.43,10.91,633.71,15.03,3.34
OLP160629,OLP,06/29/16,10:04,28.5,29.9,6.6,102.1,8.07,4.53,97.7,14.02,6.11,201.84,8.61,11.26
OSF160629,OSF,06/29/16,10:39,28,29.3,7.1,111.1,8.1,1.07,87.44,13.94,4.5,84.66,3.88,6.2
OCO160630,OCO,06/30/16,07:33,27.7,30.3,6.43,98.9,8.01,7.4,84.09,14.15,5.29,354.48,1.74,4
OMM160630,OMM,06/30/16,08:00,27.1,29.1,6.08,92.7,8.01,2.61,62.48,15.76,5.35,396.39,2.73,3.12
OUB160630,OUB,06/30/16,08:31,26.9,29.7,6.81,103.4,8.05,10.6,76.47,12.3,4.05,113.15,0.12,2.92
OPB160630,OPB,06/30/16,08:50,27.3,29.3,6.88,105.2,8.1,3.37,75.58,12.24,3.99,138.61,3.41,3.93
OPP160630,OPP,06/30/16,09:15,27.7,29.5,6.7,103.1,8.07,4.54,60.96,12.42,4.49,72.63,0.41,3.48
RPO160712,RPO,07/12/16,07:19,26.6,33.1,6.49,97.4,8.09,5.14,308.74,24.52,16.42,1360.25,250.73,2.25
RKS160712,RKS,07/12/16,07:49,26,39.1,6.53,100.1,8.07,3.9,73.05,14.52,6.85,680.64,2.96,2.66
RAB160712,RAB,07/12/16,08:16,27,36.3,6.46,99.5,8.09,0.94,79.38,16.45,7.04,331.03,15.44,1.58
RCB160712,RCB,07/12/16,08:38,27.2,35,6.79,104,8.12,2.43,122.69,18.54,8.49,620.86,55.72,2.02
RWA160712,RWA,07/12/16,09:02,27.4,35.7,6.66,102.7,8.16,3.41,83.07,19.36,10.4,617.54,15.74,
PFF160713,PFF,07/13/16,07:35,26.9,36.2,5.9,90.6,8.04,2.64,69.41,17.38,8.43,405.4,3.1,
OPM160714,OPM,07/13/16,07:38,,,,,,,79.94,13.63,4.67,136.12,2.54,2.21
PLH160713,PLH,07/13/16,08:07,27,36,5.49,84.5,8.01,2.01,81.9,17.35,8.05,279.73,8.05,2.77
PLT160713,PLT,07/13/16,08:29,27.4,36,5.39,83.3,8,4.96,97.03,18.16,8.69,550.84,22.19,6.61
OLP160713,OLP,07/13/16,09:20,28.1,37.8,6.56,103.6,8.1,2.57,98.89,13.9,6.06,87.57,1.38,2.49
