Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Honolua Bay	RHL	6/23/17	7:25	25.5	33.3	5.80	85.6	8.08	0.93	86.71	12.03	7.81	502.80	4.82	5.38	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Honolua Bay	RHL	7/14/17	8:00	26.4	33.8	6.40	96.2	8.13	0.63	94.26	10.24	4.70	176.09	7.23	3.36	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Honolua Bay	RHL	8/4/17	8:05	26.7	33.5	5.68	85.2	8.09	1.25	85.10	11.47	6.82	395.00	3.63	6.93	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Honolua Bay	RHL	8/25/17	7:53	25.6	34.6	6.31	93.9	8.12	1.29	74.98	10.74	6.43	217.96	0.66	3.43	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Honolua Bay	RHL	9/15/17	8:00	26.9	34.1	5.50	83.4	8.07	6.46	62.92	16.49	7.38	401.49	3.04	5.77	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Honolua Bay	RHL	10/6/17	7:56	25.3	33.7	6.32	93.2	8.10	38.53	62.75	13.40	10.82	506.63	4.92	5.47	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Honolua Bay	RHL	10/27/17	8:05	25.4	33.0	6.58	96.9	8.11	159.33	77.70	11.15	9.43	566.29	11.71	5.94	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Honolua Bay	RHL	11/17/17	7:50	24.3	30.6	6.39	90.9	8.15	21.17	78.84	13.74	7.08	394.16	4.57	15.58	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Honolua Bay	RHL	12/8/17	7:50	23.2	34.5	6.78	96.2	8.14	25.87							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Honolua Bay	RHL	12/22/17	7:59	22.6	28.5	7.04	96.1	8.17	20.83							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Honolua Bay	RHL	1/12/18	7:55	22.8	33.1	6.82	95.4	8.07	64.57							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
																		
																		
																		
																		
																		
																		
																		
									8.90	77.20	12.27	7.36	369.31	4.01	5.79			Geometric Mean
			7:54	24.97	33.0	6.33	92.09	8.11	30.99	77.91	12.41	7.56	395.05	5.07	6.48			Arithmetric Mean
				1.54	1.8	0.49	5.05	0.03	46.98	11.09	2.05	1.87	137.70	3.27	3.87			Standard deviation
									44.51	0.70	0.77	1.23	369.31	1.14	2.89			Normalized geometric mean
