Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Mokule'ia Bay	RMO	6/23/17	8:05	26.0	32.30	6.56	97.2	8.18	2.18	123.88	10.98	8.94	1032.64	59.00	1.45	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
									2.18	123.88	10.98	8.94	1032.64	59.00	1.45			Geometric Mean
				26.00				8.18	2.18	123.88	10.98	8.94	1032.64	59.00	1.45			Arithmetric Mean
								#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!			Standard deviation
									10.92	1.13	0.69	1.49	1032.64	16.86	0.72			Normalized geometric mean
