Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Mile Marker 14	OMM	6/16/16	8:20	25.4	27.7	6.61	97.8	7.91	5.48	107.57	15.37	7.28	451.55	7.11	8.69	1	1	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Mile Marker 14	OMM	6/30/16	8:00	27.1	29.1	6.08	92.7	8.01	2.61	62.48	15.76	5.35	396.39	2.73	3.12	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Mile Marker 14	OMM	7/14/16	8:37	27.6	36.9	5.92	92.1	7.96	4.21	65.68	15.90	6.58	452.22	3.83	3.08	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Mile Marker 14	OMM	7/28/16	8:15	26.8	35.4	5.83	88.6	7.99	3.18	70.46	10.01	6.42	261.28	3.33	6.30	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. Acid washed bottle."
Mile Marker 14	OMM	8/11/16	8:30	26.6	35.4	6.12	92.7	8.04	5.87	74.31	12.79	5.42	302.71	3.50	3.26	1	"2(2,2,2)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Mile Marker 14	OMM	8/25/16	8:00	27.4	36.0	5.60	86.2	7.94	3.63	62.23	12.75	5.12	280.11	5.63	1.66	2	"1(1,1,1)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Mile Marker 14	OMM	9/8/16	8:00	26.6	35.9	6.31	96.0	8.09	9.39	59.11	11.34	5.15	189.13	4.15	2.10	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Mile Marker 14	OMM	9/22/16	8:21	27.0	36.1	6.40	98.0	7.93	13.80	74.95	13.51	6.54	270.22	6.28	13.77	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Mile Marker 14	OMM	10/6/16	8:15	26.7	35.0	6.08	92.1	8.02	6.72	59.98	13.14	5.31	250.59	5.07	2.87	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Mile Marker 14	OMM	10/20/16	8:00	25.4	36.6	5.86	87.8	8.01	5.47	83.49	12.00	6.11	291.78	4.95	7.48	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Mile Marker 14	OMM	11/3/16	8:00	24.9	34.8	6.00	87.9	8.08	3.25	57.79	14.48	5.13	216.37	3.16	3.08	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Mile Marker 14	OMM	11/17/16	8:25	24.5	34.4	6.00	87.1	8.04	4.28	58.76	4.58	3.62	365.31	7.98	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
