Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Papalaua Beach Park	OPB	6/16/16	9:40	25.6	28.0	7.10	105.2	8.08	10.71	66.16	20.47	5.71	137.90	2.84	1.92	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Papalaua Beach Park	OPB	6/30/16	8:50	27.4	29.3	6.88	105.2	8.10	3.37	75.58	12.24	3.99	138.61	3.41	3.93	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Papalaua Beach Park	OPB	7/14/16	9:25	28.1	37.8	6.74	106.3	8.12	3.96	64.97	11.63	3.26	111.92	3.02	2.43	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Papalaua Beach Park	OPB	7/28/16	9:10	26.2	35.6	6.99	105.2	8.13	3.74	72.91	9.33	2.85	55.37	1.02	4.39	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. Acid washed bottle."
Papalaua Beach Park	OPB	8/11/16	9:15	27.4	35.7	6.89	106.0	8.14	3.81	51.97	9.41	2.49	61.77	2.73	1.50	1	"2(2,2,2)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Papalaua Beach Park	OPB	8/25/16	8:25	27.7	35.9	6.60	102.1	8.03	5.75	83.51	16.05	4.17	243.97	5.83	4.00	2	"1(1,1,1)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Papalaua Beach Park	OPB	9/8/16	8:28	26.2	35.9	6.65	100.4	8.18	7.54	64.37	10.55	3.44	74.29	3.42	1.97	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Beach Park	OPB	9/22/16	9:07	27.5	36.1	6.58	101.8	8.09	14.40	67.81	13.53	4.31	56.18	4.01	8.80	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Beach Park	OPB	10/6/16	9:02	27.7	35.0	6.59	101.3	8.11	7.30	57.25	10.65	3.85	105.42	3.46	3.13	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Beach Park	OPB	10/20/16	8:57	25.7	37.0	6.59	99.4	8.07	9.50	68.11	11.95	6.34	67.79	4.80	3.18	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Beach Park	OPB	11/3/16	8:45	25.4	34.9	6.68	98.8	8.16	3.72	62.94	14.86	4.43	53.15	2.58	3.18	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	11/17/16	9:15	25.8	34.7	6.82	101.6	8.11	2.97	60.45	7.25	3.44	81.36	8.09	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	12/1/16	8:40	23.7	34.7	6.79	97.5	8.12	8.65	63.46	5.93	3.97	219.11	7.36	2.14	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	12/15/16	9:18	25.1	35.0	6.94	102.7	8.07	4.05	62.85	9.89	4.30	129.31	18.82	1.82	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	1/5/17	8:00	23.7	35.4	6.79	97.8	8.05	10.10	76.14	12.57	4.28	113.68	6.13	1.79	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	1/26/17	8:55	23.2	35.4	6.97	99.3	8.07	4.54	75.92	19.20	6.36	74.87	7.03	4.68	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	2/17/17	8:50	25.6	35.3	6.83	101.5	8.13	14.17	74.08	9.20	6.11	91.12	8.47	7.29	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	3/9/17	8:30	25.2	34.9	6.91	101.2	8.15	9.09	65.50	8.75	4.74	59.62	5.76	6.13	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	3/30/17	9:00	26.2	34.3	6.92	103.2	8.14	5.91	71.06	7.38	3.19	69.76	3.03	8.29	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	4/20/17	8:20	26.0	34.2	6.60	98.1	8.09	4.08	85.81	6.78	4.25	109.36	3.48	3.28	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	5/11/17	8:42	25.3	34.3	7.21	106.3	8.20	5.85	71.81	9.22	4.74	155.91	1.82	1.56	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	6/1/17	8:50	25.9	34.8	7.01	104.5	8.15	4.42	64.32	7.26	2.81	61.83	2.19	1.72	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	6/22/17	8:50	26.1	34.6	6.88	103.2	8.16	2.93	75.37	9.07	4.85	112.91	8.83	1.33	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	7/13/17	8:31	27.3	34.5	6.91	105.5	8.12	5.88	62.99	9.49	3.48	142.38	8.58	1.85	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	8/3/17	8:40	28.0	34.7	6.79	105.0	8.12	7.58	68.99	7.55	4.20	109.59	6.79	1.82	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	8/24/17	8:55	25.8	35.2	6.78	101.5	8.13	8.85	77.22	7.37	5.32	169.88	12.97	1.77	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	9/14/17	8:25	28.4	35.0	6.61	103.2	8.09	4.90	49.22	14.92	3.44	144.43	2.26	3.30	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	10/5/17	8:25	25.9	34.6	6.85	102.2	8.15	7.90	61.10	11.56	4.78	197.74	5.71	3.09	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	10/26/17	8:40	26.9	34.7	6.47	98.5	8.05	21.03	81.02	9.57	6.01	156.80	16.19	6.35	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	11/16/17	8:27	24.2	34.9	7.03	102.2	8.17	5.66	68.06	8.43	3.81	201.46	2.86	4.28	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters, new syringe filter holders"
Papalaua Beach Park	OPB	12/7/17	8:20	24.6	35.0	6.67	97.2	8.18	4.37							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters"
Papalaua Beach Park	OPB	12/21/17	9:43	24.7	34.6	6.63	97.4	8.09	49.83							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters"
Papalaua Beach Park	OPB	1/11/18	8:12	24.2	34.8	6.85	99.3	8.14	4.35							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters"
																		
																		
																		
								8.12	6.49	67.84	10.24	4.18	106.15	4.66	2.92			Geometric Mean
			8:48	25.96	34.75	6.80	101.84	8.12	8.21	68.36	10.74	4.30	116.92	5.78	3.41			Arithmetric Mean
				1.37	1.75	0.17	2.85	0.04	8.43	8.53	3.55	1.05	52.52	4.18	2.08			Standard deviation
																		
									32.45	0.62	0.64	0.70	106.15	1.33	1.46			Normalized geometric mean
