Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Peter Martin Hale	OPM	6/16/16																No sample 
Peter Martin Hale	OPM	6/30/16																No sample
Peter Martin Hale	OPM	7/14/16	7:38	27.0	36.9	5.55	85.7	7.99	1.07	79.94	13.63	4.67	136.12	2.54	2.21	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Peter Martin Hale	OPM	7/28/16	7:25	26.3	35.3	5.77	86.9	8.03	0.93	90.37	10.08	4.59	294.07	3.19	11.32	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. Acid washed bottle"
Peter Martin Hale	OPM	8/11/16	7:35	26.6	35.2	5.41	81.9	7.96	1.65	64.31	12.65	4.43	187.55	4.51	1.77	1	"2(2,2,2)"	"Duplicate nutrient samples taken.  First sample was filtered with 0.7 um GFF filter and the other with 0.2 um filter. Washed and distilled water rinsed syringes, filter holders, and acid washed bottles."
Peter Martin Hale	OPM	8/25/16	7:20	27.3	36.2	5.25	80.9	7.95	1.60	72.15	14.75	4.99	169.91	6.19	2.62	2	"1(1,1,1)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Peter Martin Hale	OPM	9/8/16	7:10	26.7	36.1	6.03	91.9	8.15	3.03	63.84	13.04	4.22	150.76	4.74	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Peter Martin Hale	OPM	9/22/16	7:15	27.1	36.6	6.26	96.5	7.93	11.13	71.80	14.80	5.33	145.77	3.94	2.35	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters.  Took a replicate nutrient sample at this site."
Peter Martin Hale	OPM	10/6/16	7:30	26.7	34.9	5.94	89.9	8.00	7.28	66.13	11.01	5.36	184.50	4.33	2.85	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters."
Peter Martin Hale	OPM	10/20/16	7:05	25.7	36.6	6.01	90.4	7.93	8.81	92.69	18.44	6.00	127.80	3.20	5.69	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters."
Peter Martin Hale	OPM	11/3/16	7:15	24.9	34.8	6.07	88.9	8.04	5.68	62.91	9.99	5.82	125.93	3.09	3.08	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Peter Martin Hale	OPM	11/17/16	7:45	24.7	34.8	5.78	84.4	8.07	5.15	62.87	5.05	4.16	140.57	6.77	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	12/1/16	7:15	22.9	34.9	6.65	94.2	8.02	9.65	65.59	8.15	2.42	226.30	4.35	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	12/15/16	8:05	23.4	33.8	6.46	92.2	7.82	6.87	78.97	8.29	5.00	322.04	30.48	2.62	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	1/5/17	7:00	22.8	34.8	6.34	93.5	7.83	4.83	100.48	9.99	5.66	208.26	20.10	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	1/26/17	7:20	22.5	35.0	6.16	86.5	7.90	3.60	87.41	14.86	8.54	146.89	6.87	4.85	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	2/17/17	7:12	24.8	35.1	5.90	86.3	8.02	2.94	78.99	10.76	5.87	115.55	6.22	5.64	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	3/9/17	7:30	24.5	34.3	5.97	86.5	8.05	2.23	72.61	8.51	5.12	133.01	8.53	5.43	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	3/30/17	7:20	25.0	34.0	6.00	87.7	8.02	5.60	72.36	10.68	5.40	165.19	5.52	6.67	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
Peter Martin Hale	OPM	4/20/17	7:15	25.7	33.9	5.82	86.1	8.04	1.61	95.44	9.63	6.18	162.82	3.58	4.19	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters"
