Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Ukumehame Beach	OUB	6/16/16	9:17	25.2	28.1	7.00	103.1	8.06	16.87	63.47	16.77	6.34	112.01	2.64	1.79	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Ukumehame Beach	OUB	6/30/16	8:31	26.9	29.7	6.81	103.4	8.05	10.60	76.47	12.30	4.05	113.15	0.12	2.92	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Ukumehame Beach	OUB	7/14/16	9:00	27.8	37.2	6.65	103.9	8.09	4.15	77.70	11.77	4.37	74.21	1.87	2.19	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Ukumehame Beach	OUB	7/28/16	8:40	27.0	35.6	6.81	104.0	8.11	7.46	73.55	10.71	4.75	76.83	1.09	9.69	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. Acid washed bottle."
Ukumehame Beach	OUB	8/11/16	8:50	27.2	35.5	6.66	102.0	8.08	10.63	54.10	13.20	3.98	66.18	3.16	1.92	1	"2(2,2,2)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Ukumehame Beach	OUB	8/25/16	8:10	27.8	36.2	6.30	97.6	7.99	15.23	67.52	14.74	3.78	90.14	4.40	1.50	2	"1(1,1,1)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Ukumehame Beach	OUB	9/8/16	8:20															No sample due to high surf and shore break.
Ukumehame Beach	OUB	9/22/16	8:50	27.7	37.1	6.43	100.3	8.03	14.63	68.23	13.63	4.85	59.54	4.86	10.52	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ukumehame Beach	OUB	10/6/16	8:35	27.2	34.8	6.41	97.7	8.09	13.27	61.32	12.66	4.81	84.83	2.93	2.65	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ukumehame Beach	OUB	10/20/16	8:23	24.8	36.3	6.47	96.0	8.08	14.97	63.97	8.44	5.02	76.62	0.69	6.85	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ukumehame Beach	OUB	11/3/16	8:20	25.4	34.9	6.61	97.7	8.15	12.60	64.27	11.71	4.53	58.71	2.46	3.21	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	11/17/16	8:50	24.7	34.6	6.58	96.2	8.05	2.92	58.01	4.10	3.36	110.15	5.78	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	12/1/16	8:20	23.3	34.7	6.80	96.9	8.13	7.42	60.43	6.43	2.67	148.15	1.68	1.58	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	12/15/16	9:05	25.0	34.8	6.65	98.2	7.89	3.15	53.71	9.19	2.63	80.26	7.38	1.60	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	1/5/17	7:40	22.9	35.4	6.96	98.9	8.06	12.23	75.23	12.42	5.28	88.84	7.87	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	1/26/17	8:35	23.5	35.3	6.85	98.0	8.06	6.62	79.41	15.49	6.83	110.39	8.47	5.32	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	2/17/17	8:25	25.3	35.2	6.46	95.3	8.11	2.77	95.54	9.67	5.16	65.93	4.30	8.73	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	3/9/17	8:15	24.7	34.5	6.76	98.6	8.11	15.43	75.57	10.20	5.87	99.46	11.69	5.92	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	3/30/17	8:30	25.7	34.3	6.73	99.6	8.11	7.85	69.22	9.61	5.77	59.40	3.20	8.89	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	4/20/17	8:05	25.9	34.3	6.54	97.3	8.10	7.00	83.28	10.30	5.44	72.89	3.09	2.75	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	5/11/17	8:24	25.2	34.6	6.88	101.5	8.16	5.36	67.65	11.57	4.98	102.26	6.23	2.00	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	6/1/17	8:30	25.8	34.9	6.84	101.8	8.09	7.14	63.06	7.80	3.56	83.75	1.84	1.26	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	6/22/17	8:30	26.4	34.6	6.54	98.7	8.12	4.13	77.41	7.94	5.39	89.06	4.35	1.11	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	7/13/17	8:14	27.1	34.4	6.19	94.3	8.09	2.38	71.01	8.84	3.87	52.08	7.09	1.25	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	8/3/17	8:18	28.1	34.5	6.40	99.1	8.09	6.97	74.01	11.18	5.19	65.70	4.77	1.23	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	8/24/17	8:33	25.2	35.3	6.33	93.9	8.11	7.12	82.77	8.19	4.49	33.99	2.26	1.98	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	9/14/17	8:07	28.3	34.9	6.35	98.9	8.08	8.39	43.73	12.89	4.45	131.29	1.91	3.29	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	10/5/17	8:13	25.7	34.6	6.61	98.4	8.12	10.40	67.18	12.94	5.57	146.18	5.93	2.45	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ukumehame Beach	OUB	10/26/17	8:14	26.8	34.8	6.37	96.9	8.06	10.43	57.12	10.71	5.48	92.69	2.73	4.34	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters, new syringe filter holders"
Ukumehame Beach	OUB	11/16/17	8:10	23.5	35.0	6.73	96.9	8.15	5.64	64.83	8.73	3.33	167.71	1.52	5.54	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters, new syringe filter holders"
Ukumehame Beach	OUB	12/7/17	8:04	24.6	34.9	6.55	95.5	8.14	5.78							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters"
Ukumehame Beach	OUB	12/21/17	9:24	24.2	34.6	6.63	96.5	8.11	3.58							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters"
Ukumehame Beach	OUB	1/11/18	8:00	24.2	34.6	6.65	96.0	8.14	2.12							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um filters"
																		
																		
																		
								8.09	7.11	67.80	10.45	4.57	85.15	3.03	2.83			Geometric Mean
			8:27	25.72	34.69	6.61	98.53	8.09	8.29	68.61	10.83	4.68	90.08	4.01	3.64			Arithmetric Mean
				1.50	1.70	0.20	2.74	0.05	4.34	10.63	2.77	1.02	30.81	2.68	2.82			Standard deviation
																		
									35.53	0.62	0.65	0.76	85.15	0.87	1.41			Normalized geometric mean
