Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Launiupoko	OLP	6/15/16																Not yet site.  Traded Ukumehame bridge for this site.
Launiupoko	OLP	6/29/16	10:04	28.5	29.9	6.60	102.1	8.07	4.53	97.70	14.02	6.11	201.84	8.61	11.26	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles.  This sample was collected south of the DOH site but all subsequent samples were collected at the DOH site.  This data not included in statistics"
Launiupoko	OLP	7/13/16	9:20	28.1	37.8	6.56	103.6	8.10	2.57	98.89	13.90	6.06	87.57	1.38	2.49	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Launiupoko	OLP	7/27/16	9:09	28.1	35.6	6.52	101.4	8.13	0.88	71.08	10.63	4.47	29.59	1.24	3.97	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle. Significant south swell, some areas more turbid than others, fairly large wave sets."
Launiupoko	OLP	8/10/16	8:56	28.2	35.8	6.57	102.2	8.10	4.02	55.04	11.77	4.62	116.02	3.03	1.50	1	"2(2,2,2)"	"New bottles, washed and distilled water rinsed syringes and filter holders.  0.7 um GFF filters used."
Launiupoko	OLP	8/24/16	9:38	28.6	36.1	6.39	100.6	8.13	3.77	74.93	15.49	4.26	103.05	2.59	1.65	1	"2(2,2,2)"	"Washed rinsed syringes, washed rinsed filter holders, 0.7 um GFF filters, acid washed bottles"
Launiupoko	OLP	9/7/16	9:10	27.8	36.7	6.26	97.8	7.97	2.31	73.69	11.47	4.37	70.91	3.11	2.05	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Launiupoko	OLP	9/21/16	9:05	27.7	34.9	6.36	97.8	8.11	10.26	71.98	11.69	5.61	209.47	6.33	7.47	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Launiupoko	OLP	10/5/16	10:00	28.8	37.3	6.45	102.4	7.97	3.36	64.15	7.69	3.65	130.16	2.02	11.80	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Launiupoko	OLP	10/19/16	10:01	27.7	35.0	6.28	96.7	8.06	4.35	67.89	9.54	5.57	95.06	1.65	25.59	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
