Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Olowalu Shore Front	OSF	6/15/16	10:42	27.4	29.6	6.94	106.1	8.11	1.19	71.07	14.41	4.85	72.90	4.07	2.80	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Olowalu Shore Front	OSF	6/29/16	10:39	28.0	29.3	7.17	111.1	8.10	1.07	87.44	13.94	4.50	84.66	3.88	6.20	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Olowalu Shore Front	OSF	7/13/16	9:48	28.0	37.4	6.98	109.8	8.04	1.86	75.50	13.92	5.10	120.86	5.10	3.37	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Olowalu Shore Front	OSF	7/27/16	9:39	27.8	35.5	6.89	106.6	8.12	0.98	88.96	10.52	4.72	44.64	3.82	5.97	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Olowalu Shore Front	OSF	8/10/16	9:19	27.9	35.8	6.78	105.1	8.07	1.45	54.70	11.68	4.27	76.48	4.77	3.61	1	"2(2,2,2)"	"New bottles, washed and distilled water rinsed syringes and filter holders.  0.7 um GFF filters used."
Olowalu Shore Front	OSF	8/24/16	10:00	29.0	36.0	6.85	108.5	8.10	1.30	79.93	13.90	4.60	113.47	4.55	3.72	1	"2(2,2,2)"	"Washed rinsed syringes, washed rinsed filter holders, 0.7 um GFF filters, acid washed bottles"
Olowalu Shore Front	OSF	9/7/16	9:39	28.4	37.0	6.55	103.3	8.06	1.12	82.56	13.03	4.24	63.23	4.70	4.48	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Olowalu Shore Front	OSF	9/21/16	9:36	27.6	34.8	6.58	101.2	8.17	2.35	69.95	12.28	4.40	59.63	4.63	3.42	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Olowalu Shore Front	OSF	10/5/16	10:23	28.8	37.2	6.73	106.9	7.99	2.07	64.41	8.94	4.53	95.75	4.80	4.55	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Olowalu Shore Front	OSF	10/19/16	10:37	27.4	34.9	6.65	102.0	8.12	2.94	72.84	18.92	7.01	65.37	3.17	12.06	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Olowalu Shore Front	OSF	11/2/16	10:46	26.3	34.8	6.83	102.6	8.07	1.75	69.27	9.30	5.07	63.82	4.07	7.16	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	11/16/16	10:15	26.8	34.7	8.60	106.9	8.11	4.37	72.19	7.07	4.33	140.77	6.01	2.66	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	11/30/16	10:25	24.7	34.8	7.37	108.0	8.13	2.42	78.82	8.00	3.87	214.64	5.82	3.81	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	12/14/16	10:16	24.7	34.8	6.68	97.7	8.08	4.10	75.56	8.27	4.71	139.35	24.19	4.19	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	1/4/17	10:24	24.3	35.0	7.46	108.5	8.13	2.18	80.46	10.00	4.76	120.30	5.16	3.72	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	1/25/17	10:30	24.7	35.2	6.46	94.3	7.90	1.21	77.50	15.25	8.71	94.53	4.94	6.54	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	2/15/17	10:11	25.1	34.9	6.59	96.8	8.10	4.16	83.21	11.44	6.52	150.71	5.57	7.22	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	3/8/17	11:00	26.0	34.5	7.35	109.4	8.13	1.67	80.98	7.28	5.50	100.44	6.17	8.93	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	3/29/17	10:36	26.8	34.0	6.95	104.5	8.13	2.18	77.95	12.43	6.28	147.20	5.68	14.60	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Olowalu Shore Front	OSF	4/19/17	10:25	27.0	34.3	6.97	105.7	8.15	1.50	118.54	9.25	6.57	158.80	3.77	7.88	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
