Location	Location Code	Date	Time	Tide In/Out	Tide spd	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes		Ent
Lindsey Hale	PLH	6/15/16	8:28	1.00	-0.69	26.8	28.1	6.57	99.6	7.99	2.80	90.04	14.32	6.22	169.92	2.79	2.89	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"		192
Lindsey Hale	PLH	6/29/16	8:24	1.00	-0.38	27.2	29.1	6.29	96.0	8.04	3.43	65.05	15.92	7.83	245.70	5.67	2.24	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"		10
Lindsey Hale	PLH	7/13/16	8:07	1.00	-0.52	27.0	36.0	5.49	84.5	8.01	2.01	81.90	17.35	8.05	279.73	8.05	2.77	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."		64
Lindsey Hale	PLH	7/27/16	8:05	1.00	-0.26	27.4	35.0	5.90	90.5	8.02	8.05	85.14	13.66	10.11	408.47	7.68	6.57	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."		10
Lindsey Hale	PLH	8/10/16	7:52	1.00	-0.33	27.3	35.0	5.53	84.5	8.02	5.50	61.90	11.79	9.56	447.20	8.71	11.90	1	"2(2,2,2)"	"New bottles, washed and distilled water rinsed syringes and filter holders.  0.7 um GFF filters used."		10
Lindsey Hale	PLH	8/24/16	8:20	0.00	-0.31	28.4	35.2	5.44	85.0	8.01	25.40	91.13	19.38	10.92	699.52	28.62	5.08	1	"2(2,2,2)"	"Washed rinsed syringes, washed rinsed filter holders, 0.7 um GFF filters, acid washed bottles"		192
Lindsey Hale	PLH	9/7/16	8:46	-1.00	-0.37	27.5	36.5	6.07	94.2	7.96	6.77	71.64	10.36	5.46	99.94	5.97	2.61	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		20
Lindsey Hale	PLH	9/21/16	7:52	-1.00	-0.34	27.1	34.4	6.08	92.3	8.03	40.10	108.60	29.24	14.43	571.44	24.79	16.65	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		20
Lindsey Hale	PLH	10/5/16	8:48	-1.00	-0.46	27.8	35.4	5.44	84.3	7.89	14.73	72.92	12.45	8.85	614.34	9.88	12.31	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		222
Lindsey Hale	PLH	10/19/16	8:51	-1.00	-0.57	27.2	34.0	6.12	92.9	8.03	40.70	81.40	27.18	12.20	694.78	9.23	11.23	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		10
Lindsey Hale	PLH	11/2/16	8:56	-1.00	-0.66	26.2	34.0	5.52	82.2	8.02	12.70	90.53	16.70	10.75	568.93	8.80	19.57	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	11/16/16	8:45	-1.00	-0.65	26.4	34.1	5.53	82.9	7.98	14.03	122.65	11.75	10.66	469.53	12.19	5.18	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	11/30/16	8:51	-1.00	-0.70	25.0	33.9	6.24	91.2	8.01	9.44	93.30	9.04	5.80	469.52	18.08	4.76	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	12/14/16	8:45	-1.00	-0.59	23.7	33.1	6.65	94.7	7.96	14.27	97.74	19.06	11.79	601.12	21.63	6.23	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	1/4/17	8:42	-1.00	-0.23	23.3	34.7	6.77	96.4	8.07	8.92	135.13	18.19	13.14	400.39	10.19	2.98	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	1/25/17	8:50	0.00	-0.26	23.8	34.8	6.22	89.5	7.96	3.53	84.69	15.80	14.91	195.95	5.22	6.01	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	2/15/17	8:45	-1.00	-0.32	24.9	34.1	6.20	90.5	8.07	10.70	94.63	13.86	10.03	386.33	26.13	7.81	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	3/8/17	8:59	1.00	0.12	24.6	33.9	6.13	88.8	8.10	7.56	76.94	10.36	8.90	290.11	13.06	6.65	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	3/29/17	8:50	-1.00	-0.79	26.0	33.4	5.72	84.5	8.06	7.19	82.42	13.31	8.35	321.29	12.09	11.43	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	4/19/17	8:45	-1.00	-0.01	25.9	33.7	6.43	95.3	8.11	9.15	91.68	11.62	8.36	261.11	3.39	2.74	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	5/10/17	8:40	1.00	-1.04	25.8	33.9	6.24	92.7	8.14	2.00	67.52	8.33	6.28	203.96	7.82	2.56	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	5/31/17	8:41			26.5	34.4	6.32	94.9	8.06	5.14	70.11	11.37	9.18	331.09	9.63	5.91	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	6/21/17	8:43			26.7	33.9	6.32	95.2	8.08	2.45	75.00	10.63	7.30	196.89	7.60	3.98	2	"1 (2,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	7/12/17	8:35			27.1	34.1	5.47	82.9	8.06	4.57	69.26	10.39	6.82	278.27	12.30	3.23	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	8/2/17	8:40			27.4	34.3	6.28	96.0	8.06	6.20	71.38	11.01	8.62	273.52	7.15	1.94	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		34.05019001
Lindsey Hale	PLH	8/23/17	8:47			27.2	34.3	6.43	97.9	8.08	7.56	73.93	13.68	10.47	290.58	7.75	3.95	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	9/13/17	8:43			27.9	34.5	6.36	99.3	8.11	8.29	54.94	19.21	10.67	371.38	3.71	2.66	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	10/4/17	8:40			27.8	33.8	5.64	86.7	8.03	4.09	126.79	11.86	10.95	332.70	7.59	11.59	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"		
Lindsey Hale	PLH	10/25/17	8:47			26.7	34.1	6.50	98.2	8.07	19.23	58.71	12.74	10.17	323.00	6.05	4.70	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		
Lindsey Hale	PLH	11/15/17	8:35			26.0	34.5	6.37	95.2	8.11	3.55	69.66	14.80	8.35	404.32	5.66	7.51	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		
Lindsey Hale	PLH	12/6/17	8:35			23.8	34.6	6.67	95.7	8.15	12.27							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"		
Lindsey Hale	PLH	12/20/17	8:41			24.1	34.9	6.59	96.0	8.14	6.94							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Lindsey Hale	PLH	1/10/18	8:45			24.0	34.1	6.10	87.7	8.07	2.64							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Lindsey Hale	PLH	1/31/18	8:30			23.8	33.8	6.31	91.0	8.09	12.30							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
																				
																				
																				
																				
											7.47	81.90	13.88	9.22	340.99	8.97	5.32			Geometric Mean
			8:37	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	26.1	34.0	6.12	91.4	8.05	10.12	83.89	14.51	9.50	373.37	10.58	6.52			Arithmetric Mean
						1.48	1.55	0.40	5.27	0.06	9.27	19.50	4.81	2.37	156.55	6.72	4.49			Standard deviation
																				
											37.34	0.74	0.87	1.54	340.99	2.56	2.66			Normalized geometric mean
