Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Lahaina Town	PLT	6/15/16	8:59	27.2	28.2	6.72	102.4	8.09	2.91	72.13	11.00	5.58	125.36	4.24	2.57	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Lahaina Town	PLT	6/29/16	8:50	27.3	28.9	6.21	95.0	8.02	1.98	72.79	15.90	6.78	217.71	6.28	3.17	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Lahaina Town	PLT	7/13/16	8:29	27.4	36.0	5.39	83.3	8.00	4.96	97.03	18.16	8.69	550.84	22.19	6.61	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Lahaina Town	PLT	7/27/16	8:28	27.6	35.2	5.65	87.0	8.00	3.70	75.74	11.26	7.09	217.97	7.19	5.11	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Lahaina Town	PLT	8/10/16	8:15	27.5	35.1	5.74	88.1	8.04	4.34	72.34	14.43	5.83	349.50	13.55	5.49	1	"2(2,2,2)"	"New bottles, washed and distilled water rinsed syringes and filter holders.  0.7 um GFF filters used."
Lahaina Town	PLT	8/24/16	8:42	28.3	35.7	5.84	91.3	8.03	6.57	82.15	16.98	8.93	344.26	11.70	2.18	1	"2(2,2,2)"	"Washed rinsed syringes, washed rinsed filter holders, 0.7 um GFF filters, acid washed bottles"
Lahaina Town	PLT	9/7/16	8:19	27.5	36.6	6.06	94.0	8.01	4.33	87.18	11.37	7.85	164.84	5.45	5.25	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Lahaina Town	PLT	9/21/16	8:20	26.9	34.3	6.00	90.8	7.98	45.33	111.62	22.22	13.50	660.22	27.32	7.55	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Lahaina Town	PLT	10/5/16	9:10	28.2	36.0	5.53	86.4	7.87	20.37	82.07	12.27	8.79	506.44	16.64	13.89	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Lahaina Town	PLT	10/19/16	9:13	27.5	33.9	6.00	91.5	7.98	43.67	77.93	24.92	11.63	632.91	9.33	9.78	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Lahaina Town	PLT	11/2/16	9:17	26.8	33.7	5.38	80.9	7.98	4.18	76.59	19.14	8.08	400.73	6.79	7.68	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	11/16/16	9:06	26.5	34.3	5.60	84.0	8.03	10.87	81.31	7.35	5.36	345.45	9.71	2.29	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	11/30/16	9:12	25.0	34.0	6.20	90.5	7.95	12.50	103.45	9.58	5.64	542.06	33.68	5.22	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	12/14/16	9:18	24.0	33.8	5.93	85.3	7.94	7.50	90.52	13.58	8.28	669.23	45.98	5.20	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	1/4/17	9:03	23.7	34.6	6.22	89.4	8.05	35.30	93.72	14.89	10.45	554.29	23.00	3.64	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	1/25/17	9:16	24.3	34.9	6.47	93.7	8.00	1.70	76.35	15.03	12.77	181.82	4.76	7.59	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	2/15/17	9:03	24.9	34.4	5.93	86.7	8.07	8.65	107.67	13.21	8.50	321.19	26.27	7.93	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	3/8/17	9:24	24.6	34.2	6.42	93.4	8.11	3.03	71.71	9.87	7.07	175.61	6.94	7.32	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	3/29/17	9:10	26.3	33.1	5.93	87.9	8.07	7.53	123.15	20.92	9.56	497.53	47.97	20.31	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	4/19/17	9:06	26.2	33.0	6.24	92.6	8.10	11.37	109.01	14.12	11.45	562.02	23.82	6.27	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	5/10/17	8:59	25.9	34.7	6.33	94.4	8.14	1.57	69.50	17.55	5.04	61.30	4.65	4.90	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	5/31/17	9:02	26.8	33.7	6.01	90.3	8.05	13.23	112.14	13.81	9.87	530.06	27.14	5.73	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	6/21/17	9:03	27.3	34.5	6.85	104.6	8.10	2.24	69.92	9.86	6.90	120.30	6.34	5.22	2	"1 (2,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	7/12/17	8:55	28.2	33.7	5.26	81.1	8.04	6.11	77.07	12.20	6.52	512.47	21.68	5.08	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	8/2/17	9:02	27.8	33.9	5.99	91.9	8.06	6.45	85.56	12.35	8.66	352.90	17.83	4.64	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Lahaina Town	PLT	8/23/17	9:10	27.6	34.2	6.37	97.7	8.07	3.74	88.20	12.04	6.76	348.80	14.35	2.99	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
