Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Airport Beach	RAB	6/14/16	9:15	26.8	35.0	6.72	101.6	8.06	2.62	91.26	10.73	8.46	604.37	24.72	1.88	1	"1(1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Airport Beach	RAB	6/28/16	8:22	26.4	27.6	6.59	99.3	8.10	1.77	90.93	16.97	8.28	510.71	26.44	2.59	1	"1(1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Airport Beach	RAB	7/12/16	8:16	27.0	36.3	6.46	99.5	8.09	0.94	79.38	16.45	7.04	331.03	15.44	1.58	1	"1(1,1,1)"	"New syringes, Swinnex filter holders new, GFF filters, new bottles"
Airport Beach	RAB	7/26/16	8:12	27.2	35.3	6.48	99.1	8.14	1.50	87.42	13.39	6.82	267.63	16.56	6.02	1	"2(2,2,2)"	"New HQ40D meter and probes used today. New syringes, Swinnex filter holders washed and DI rinsed, GFF filters. New bottles."
Airport Beach	RAB	8/9/16	8:11	27.1	35.4	6.27	96.7	8.12	0.42	70.02	14.87	6.66	322.69	22.60	2.38	1	"2(2,2,2)"	"Acid washed bottles, 0.7 umGFF  filters, washed rinsed filter holders, washed rinsed syringes.  "
Airport Beach	RAB	8/23/16	8:08	27.8	35.3	5.84	90.7	8.00	0.46	87.24	13.12	7.32	350.09	25.95	1.89	1	"1(1,1,1)"	"Acid washed bottles, 0.7 um GFF filter, washed rinsed filter holders, washed rinsed syringes."
Airport Beach	RAB	9/6/16	8:10	27.3	35.3	6.41	98.2	8.21	1.45	81.25	15.44	7.41	368.38	26.83	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Airport Beach	RAB	9/20/16	7:50	27.1	35.6	6.31	96.6	8.03	1.27	193.38	18.32	7.53	364.08	18.00	9.23	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters. Team took nutrient and sediment samples out of the bucket due to high waves which could impact readings."
Airport Beach	RAB	10/4/16	8:17	27.8	34.3	6.19	95.2	8.12	0.52	85.59	17.23	5.65	317.64	24.89	4.84	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Airport Beach	RAB	10/18/16	8:22	26.9	36.7	6.28	96.3	7.99	0.70	87.06	9.44	7.10	343.83	24.67	3.49	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Airport Beach	RAB	11/1/16	8:18	25.5	34.4	6.43	94.7	8.10	1.40	84.64	20.70	8.34	421.29	15.51	7.16	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	11/15/16	8:29	25.8	34.4	6.49	96.2	8.14	1.46	67.22	8.36	5.88	349.27	15.11	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	11/29/16	8:22	25.1	34.3	6.52	95.2	8.14	1.56	83.38	5.77	4.06	386.57	21.25	1.64	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	12/13/16	8:24	25.3	34.7	6.60	97.4	8.02	1.21	62.36	13.42	4.78	343.80	18.57	1.50	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	1/3/17	9:30	24.4	34.6	6.57	95.5	8.18	2.49	82.42	12.88	7.56	314.68	15.25	1.63	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	1/24/17	8:29	24.1	37.2	6.46	94.5	8.16	4.08	79.75	23.24	18.90	237.48	13.92	4.49	1	"1(1,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	2/14/17	9:13	24.5	34.6	6.81	99.1	8.19	5.25	95.15	14.98	10.48	381.69	23.45	6.22	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	3/7/17	8:45	24.5	34.2	6.70	97.5	8.15	7.20	74.76	13.16	10.30	263.05	11.25	6.23	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	3/28/17	8:43	25.4	34.0	6.71	98.4	8.18	1.88	86.99	14.49	8.87	303.09	19.08	6.92	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	4/18/17	8:53	26.1	33.5	6.53	96.9	8.16	0.96	128.53	13.35	9.08	619.74	35.00	3.88	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	5/9/17	8:45	26.1	33.6	6.96	103.7	8.20	1.48	116.75	12.28	8.49	562.57	25.13	5.99	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	5/30/17	8:47	26.5	34.3	6.83	102.3	8.16	1.25	86.47	10.51	6.24	427.43	24.06	2.82	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	6/20/17	8:46	26.7	34.2	6.64	100.2	8.17	2.09	82.85	15.32	8.42	366.12	19.49	1.62	2	"1 (2,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Airport Beach	RAB	7/11/17	9:05	27.4	33.4	6.23	94.6	8.16	0.34	108.20	13.94	7.62	673.69	47.01	2.81	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
