Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Kaanapali Shores	RKS	6/14/16	8:37	24.9	23.8	6.86	100.6	8.07	16.80	75.08	18.80	9.06	1720.37	5.65	4.15	1	"1(1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Kaanapali Shores	RKS	6/28/16	7:54	24.2	22.2	6.90	100.3	8.13	9.79	75.12	14.77	8.49	1435.92	6.13	3.59	1	"1(1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Kaanapali Shores	RKS	7/12/16	7:49	26.0	39.1	6.53	100.1	8.07	3.90	73.05	14.52	6.85	680.64	2.96	2.66	1	"1(1,1,1)"	"New syringes, Swinnex filter holders new, GFF filters, new bottles"
Kaanapali Shores	RKS	7/26/16	7:50	26.8	35.3	6.48	98.4	8.07	6.16	96.67	13.00	6.41	60.27	3.75	6.35	1	"2 (2,2,2)"	"New HQ40D meter and probes used today. New syringes, Swinnex filter holders washed and DI rinsed, GFF filters. New bottles."
Kaanapali Shores	RKS	8/9/16	7:45	25.8	34.9	6.38	95.1	8.03	5.81	76.01	14.15	7.25	373.12	10.63	3.85	1	"2 (2,2,2)"	"Acid washed bottles, 0.7 umGFF  filters, washed rinsed filter holders, washed rinsed syringes.  "
Kaanapali Shores	RKS	8/23/16	7:39	26.6	26.7	6.36	92.5	8.04	10.63	90.19	15.02	8.59	496.44	15.22	3.19	1	"1(1,1,1)"	"Acid washed bottles, 0.7 um GFF filter, washed rinsed filter holders, washed rinsed syringes."
Kaanapali Shores	RKS	9/6/16	7:50	26.1	35.5	6.42	96.7	8.15	6.16	66.51	16.19	6.75	144.16	4.15	1.65	2	"2 (2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Kaanapali Shores	RKS	9/20/16	7:30	25.9	32.4	6.52	96.2	8.00	12.07	162.42	16.77	9.10	854.64	12.60	10.28	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters. Team took nutrient and sediment samples out of the bucket due to high waves which could impact readings."
Kaanapali Shores	RKS	10/4/16	7:58	26.9	34.4	6.20	94.1	8.08	7.76	69.40	16.92	6.58	211.98	10.53	6.14	2	"2 (2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Kaanapali Shores	RKS	10/18/16	8:02	26.1	35.6	6.31	95.2	7.96	5.78	73.60	10.50	8.13	368.37	8.21	4.35	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
