Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Pohaku	RPO	6/14/16	8:03	25.7	33.3	6.86	102.1	8.11	13.90	311.07	26.26	18.72	1697.47	233.11	2.81	1	"1 (1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Pohaku	RPO	6/28/16	7:25	25.7	26.4	6.71	100.0	8.09	11.73	332.98	24.80	18.29	1621.15	259.15	5.43	1	"1 (1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Pohaku	RPO	7/12/16	7:19	26.6	33.1	6.49	97.4	8.09	5.14	308.74	24.52	16.42	1360.25	250.73	2.25	1	"1 (1,1,1)"	"New syringes, Swinnex filter holders new, GFF filters.  New bottles"
Pohaku	RPO	7/26/16	7:21	26.8	34.1	6.28	94.9	8.12	9.22	282.81	23.89	17.06	1116.96	200.67	6.69	1	"2 (2,2,2)"	"New HQ40D meter and probes used today. New syringes, Swinnex filter holders washed and DI rinsed, GFF filters.  New bottles"
Pohaku	RPO	8/9/16	7:20	26.5	34.4	6.23	93.8	8.09	4.59	156.99	18.41	9.96	592.29	110.40	4.87	1	"2 (2,2,2)"	"Acid washed bottles, 0.7 umGFF  filters, washed rinsed filter holders, washed rinsed syringes.  Additional nutrient sample with a 0.2 um filter disposable. All else same."
Pohaku	RPO	8/23/16	7:15	27.1	34.5	5.90	90.2	7.86	3.98	180.79	18.64	14.45	710.64	126.76	5.05	1	"1 (1,1,1)"	"Acid washed bottles, 0.7 um GFF filter, washed rinsed filter holders, washed rinsed syringes."
Pohaku	RPO	9/6/16	7:21	26.7	34.9	6.31	95.4	8.11	10.90	137.96	18.44	12.09	626.96	83.69	4.98	2	"2 (2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Pohaku	RPO	9/20/16	7:15	26.4	35.7	6.22	94.4	7.98	8.26	112.75	16.85	11.33	374.10	44.09	4.91	1	"1 (1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters. Team took nutrient and sediment samples out of the bucket due to high waves which could impact readings."
Pohaku	RPO	10/4/16	7:37	26.9	34.4	6.03	91.4	8.09	5.38	109.80	21.40	11.98	496.53	52.67	7.02	2	"2 (2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Pohaku	RPO	10/18/16	7:39	26.6	36.0	6.23	95.0	7.95	8.45	105.57	12.87	11.67	399.05	38.62	10.94	1	"1 (1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
