Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Wahikuli Beach	RWA	6/14/16	10:24	27.3	34.6	6.66	101.8	8.15	3.47	84.60	24.07	12.38	822.08	21.35	1.50	1	"1(1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles. NH4 < 1.5"
Wahikuli Beach	RWA	6/28/16	9:06	26.9	27.9	6.77	103.0	8.13	3.13	83.60	20.43	10.91	633.71	15.03	3.34	1	"1(1,1,1)"	"Old syringes washed, no DI rinse. 0.2 micron disposable filters, new bottles."
Wahikuli Beach	RWA	7/12/16	9:02	27.4	35.7	6.66	102.7	8.16	3.41	83.07	19.36	10.40	617.54	15.74	1.50	1	"1(1,1,1)"	"New syringes, Swinnex filter holders new, GFF filters, new bottles"
Wahikuli Beach	RWA	7/26/16	8:59	27.4	34.8	6.51	99.8	8.15	3.22	87.81	15.67	9.77	467.63	13.19	4.55	1	"2(2,2,2)"	"New HQ40D meter and probes used today. New syringes, Swinnex filter holders washed and DI rinsed, GFF filters. New bottles."
Wahikuli Beach	RWA	8/9/16	8:52	27.2	35.3	6.58	100.6	8.16	0.73	63.27	14.74	6.01	268.63	7.89	4.72	1	"2(2,2,2)"	"Acid washed bottles, 0.7 umGFF  filters, washed rinsed filter holders, washed rinsed syringes.  "
Wahikuli Beach	RWA	8/23/16	8:47	28.0	35.7	6.23	97.4	8.06	0.63	71.25	14.83	6.20	224.59	10.41	1.50	1	"1(1,1,1)"	"Acid washed bottles, 0.7 um GFF filter, washed rinsed filter holders, washed rinsed syringes."
Wahikuli Beach	RWA	9/6/16	8:54	27.8	35.4	6.42	99.3	8.23	3.24	68.40	21.59	9.15	355.63	9.97	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Wahikuli Beach	RWA	9/20/16	8:30	27.4	36.7	6.33	98.0	8.05	3.19	149.80	17.62	7.24	385.18	10.43	7.07	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters. Team took nutrient and sediment samples out of the bucket due to high waves which could impact readings."
Wahikuli Beach	RWA	10/4/16	8:53	27.8	34.6	6.35	97.9	8.17	1.84	67.41	13.09	6.05	319.78	10.07	1.76	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Wahikuli Beach	RWA	10/18/16	8:57	27.3	36.6	6.20	95.9	8.09	0.90	78.88	20.54	9.62	489.05	12.57	11.06	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Wahikuli Beach	RWA	11/1/16	8:55	26.4	34.4	6.38	95.4	8.15	0.91	79.04	21.10	7.87	448.87	14.07	3.14	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	11/15/16	9:05	26.4	33.3	6.45	96.2	8.12	1.42	88.51	16.74	15.59	1415.00	43.33	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	11/29/16	8:59	25.4	33.6	6.49	95.0	8.13	1.49	94.79	10.29	8.92	908.64	37.28	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	12/13/16	9:03	25.3	34.1	6.59	97.2	8.11	0.97	74.45	14.71	8.36	760.93	28.97	2.36	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	1/3/17	10:15	24.8	34.9	6.49	95.3	8.20	0.93	85.84	11.24	5.84	223.38	10.13	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	1/24/17	9:07	24.5	34.7	6.69	97.3	8.20	1.15	117.23	34.70	30.64	953.96	56.58	4.25	1	"1(1,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	2/14/17	10:00	24.7	33.9	6.78	98.7	8.20	1.04	95.60	15.08	10.84	490.89	29.92	5.61	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	3/7/17	9:25	24.9	32.9	6.79	98.6	8.19	2.11	99.98	18.30	14.53	742.36	37.20	5.24	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	3/28/17	9:21	25.4	32.9	6.77	98.8	8.19	0.63	102.96	19.47	14.15	768.90	37.51	6.85	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	4/18/17	9:26	25.9	33.0	6.57	96.8	8.18	0.92	131.32	18.46	15.75	1191.85	40.97	2.46	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Wahikuli Beach	RWA	5/9/17	9:20	26.0	33.0	6.86	101.5	8.21	0.78	113.94	14.22	12.10	983.76	35.72	4.87	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
