Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Fleming North	RFN	6/23/17	8:40	26.4	33.8	6.44	96.8	8.13	1.40	79.37	11.05	6.50	367.12	11.34	3.50	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming North	RFN	7/14/17	8:41	26.5	34.3	6.74	101.3	8.15	1.54	70.67	9.91	5.50	311.63	11.99	3.15	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming North	RFN	8/4/17	8:49	27.3	34.3	6.70	102.0	8.17	2.89	78.32	11.07	6.47	202.35	9.54	1.86	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming North	RFN	8/25/17	8:34	26.3	34.9	6.60	99.5	8.12	1.18	79.39	13.17	5.92	226.64	9.21	2.14	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming North	RFN	9/15/17	8:45	27.5	34.7	6.61	101.4	8.16	0.96	50.74	16.09	6.24	210.76	6.63	2.39	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming North	RFN	10/6/17	8:40	26.4	34.1	6.64	99.9	8.16	2.24	61.83	13.19	7.48	334.06	8.24	4.60	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming North	RFN	10/27/17	8:45	26.4	34.8	6.83	103.3	8.17	3.48	59.56	10.02	5.39	139.43	11.28	5.21	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming North	RFN	11/17/17	8:40	25.7	34.4	6.71	99.7	8.15	1.58	66.51	13.88	5.59	329.25	7.75	3.88	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming North	RFN	12/8/17	8:40	24.7	35.1	6.95	101.6	8.18	1.55							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming North	RFN	12/22/17	8:42	23.4	33.9	6.98	99.5	8.17	7.39							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming North	RFN	1/12/18	8:45	24.0	34.3	7.04	101.3	8.16	3.80							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
									2.11	67.55	12.14	6.10	253.32	9.32	3.15			Geometric Mean
			8:41	25.87	34.42	6.75	100.57	8.16	2.55	68.30	12.30	6.13	265.16	9.50	3.34			Arithmetric Mean
				1.31	0.41	0.18	1.73	0.02	1.86	10.56	2.15	0.69	80.72	1.92	1.19			Standard deviation
									10.57	0.61	0.76	1.02	253.32	2.66	1.58			Normalized geometric mean
