Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Fleming South	RFS	6/23/17	9:50	26.3	31.7	6.50	96.4	8.08	1.22	282.06	27.92	25.09	2095.31	208.36	5.44	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming South	RFS	7/14/17	9:32	27.4	31.4	6.51	97.9	8.08	0.60	357.03	44.35	30.05	2740.61	326.81	5.23	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming South	RFS	8/4/17	9:50	27.8	33.4	6.49	99.1	8.09	1.03	210.65	20.10	14.61	926.01	109.84	5.05	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming South	RFS	8/25/17	9:38	27.0	33.6	6.56	99.4	8.09	1.28	160.84	15.21	12.62	840.54	86.83	4.96	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming South	RFS	9/15/17	9:55	28.5	34.4	6.73	104.9	8.15	1.49	87.99	18.60	11.79	510.07	43.29	6.68	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming South	RFS	10/6/17	9:35	26.9	33.4	6.81	103.0	8.16	3.03	130.02	17.79	15.76	934.61	85.88	5.29	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Fleming South	RFS	10/27/17	9:53	26.7	34.8	6.99	106.6	8.21	2.63	66.92	9.65	7.06	151.85	12.13	7.41	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming South	RFS	11/17/17	9:50	26.3	34.1	6.86	103.1	8.16	2.57	121.18	16.65	12.13	758.32	66.44	4.98	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming South	RFS	12/8/17	9:45	25.4	35.1	7.03	104.0	8.19	1.41							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming South	RFS	12/22/17	9:50	24.5	34.7	6.95	101.8	8.18	3.38							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Fleming South	RFS	1/12/18	9:40	24.8	33.9	7.04	102.6	8.16	2.60							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
									1.71	154.01	19.41	14.73	838.93	81.50	5.57			Geometric Mean
			9:45	26.51	33.68	6.77	101.71	8.14	1.93	177.09	21.28	16.14	1119.67	117.45	5.63			Arithmetric Mean
				1.23	1.20	0.22	3.14	0.05	0.93	100.15	10.63	7.62	859.22	102.32	0.91			Standard deviation
									8.54	1.40	1.21	2.45	838.93	23.28	2.79			Normalized geometric mean
