Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Ka'opala Bay	RKO	6/23/17	10:20	26.7	33.1	6.59	99.2	8.10	8.26	159.63	16.32	12.27	948.80	92.61	3.73	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ka'opala Bay	RKO	7/14/17	9:59	27.3	34.3	5.85	89.4	8.09	1.70	99.54	13.42	6.54	315.72	39.02	3.14	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ka'opala Bay	RKO	8/4/17	10:25	27.7	34.0	6.33	96.8	8.12	4.60	94.66	11.26	7.48	346.36	32.88	2.11	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ka'opala Bay	RKO	8/25/17	10:10	26.9	34.9	6.09	92.8	8.09	3.29	93.28	11.96	8.16	296.65	34.18	1.81	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ka'opala Bay	RKO	9/15/17	10:27	28.4	34.5	6.66	103.6	8.14	6.68	137.72	17.53	10.39	448.89	41.16	9.72	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ka'opala Bay	RKO	10/6/17	9:55	26.4	33.7	6.62	99.5	8.11	13.47	113.87	17.09	15.46	691.32	70.33	3.69	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Ka'opala Bay	RKO	10/27/17	10:23	25.9	34.3	6.84	102.6	8.13	26.57	117.88	20.00	15.90	561.32	99.59	6.73	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ka'opala Bay	RKO	11/17/17	10:15	25.3	34.0	6.81	100.5	8.16	17.07	114.57	17.52	13.53	638.78	66.12	4.23	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ka'opala Bay	RKO	12/8/17	10:10	24.7	34.6	6.99	102.0	8.19	15.33							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ka'opala Bay	RKO	12/22/17	10:18	23.4	33.9	6.93	99.1	8.14	36.17							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Ka'opala Bay	RKO	1/12/18	10:10	24.4	33.8	6.99	101.1	8.15	17.70							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
									9.85	114.59	15.36	10.68	491.84	54.46	3.82			Geometric Mean
			10:13	26.10	34.10	6.61	98.78	8.13	13.71	116.40	15.64	11.22	530.98	59.49	4.39			Arithmetric Mean
				1.52	0.49	0.38	4.30	0.03	10.56	22.76	3.08	3.63	225.17	26.64	2.62			Standard deviation
									49.26	1.04	0.96	1.78	491.84	15.56	1.91			Normalized geometric mean
