Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Oneloa Bay	RON	6/23/17	9:14	26.7	34.2	6.72	102.0	8.20	0.43	73.24	13.26	4.71	84.03	4.31	1.90	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Oneloa Bay	RON	7/14/17	9:10	26.4	34.6	6.73	101.5	8.16	0.89	66.79	12.74	4.31	88.08	8.95	1.24	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Oneloa Bay	RON	8/4/17	9:22	27.2	34.4	6.75	102.7	8.16	0.66	73.51	10.25	4.96	104.47	7.89	1.85	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Oneloa Bay	RON	8/25/17	9:15	26.5	35.2	6.72	102.1	8.17	1.26	74.42	11.49	5.26	70.62	7.66	1.52	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Oneloa Bay	RON	9/15/17	9:20	27.6	34.8	6.69	103.0	8.17	0.50	60.84	17.61	5.65	138.85	4.29	5.73	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Oneloa Bay	RON	10/6/17	9:15	27.0	34.6	6.60	100.9	8.19	0.64	82.52	32.54	7.61	83.75	2.72	3.06	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Oneloa Bay	RON	10/27/17	9:20	27.0	35.0	6.79	104.1	8.18	1.28	56.93	10.66	4.14	65.74	5.00	5.39	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Oneloa Bay	RON	11/17/17	9:15	26.0	35.0	6.66	100.2	8.19	0.66	64.87	14.70	4.11	71.94	2.55	3.42	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Oneloa Bay	RON	12/8/17	9:15	25.1	35.1	6.91	101.8	8.18	0.64							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Oneloa Bay	RON	12/22/17	9:17	24.0	35.1	6.93	100.7	8.19	4.31							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Oneloa Bay	RON	1/12/18	9:15	24.5	34.7	7.02	102.4	8.17	1.07							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
									0.88	68.70	14.34	4.99	86.04	4.93	2.61			Geometric Mean
			9:16	26.18	34.79	6.77	101.95	8.18	1.12	69.14	15.41	5.09	88.43	5.42	3.01			Arithmetric Mean
				1.17	0.32	0.13	1.12	0.01	1.09	8.32	7.32	1.15	23.74	2.44	1.74			Standard deviation
																		
									4.42	0.62	0.90	0.83	86.04	1.41	1.30			Normalized geometric mean
