Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Camp Olowalu	OCO	6/16/16	7:45	25.3	29.3	6.86	101.2	7.96	23.30	78.22	10.80	7.56	330.61	5.91	2.74	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Camp Olowalu	OCO	6/30/16	7:33	27.7	30.3	6.43	98.9	8.01	7.40	84.09	14.15	5.29	354.48	1.74	4.00	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Camp Olowalu	OCO	7/14/16	8:12	28.2	37.4	6.22	98.1	8.02	22.80	67.22	14.86	7.36	595.45	1.49	1.50	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Camp Olowalu	OCO	7/28/16	7:55	26.6	35.5	6.47	98.1	8.05	12.43	64.44	9.97	6.95	560.00	1.65	42.04	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. Acid washed bottle."
Camp Olowalu	OCO	8/11/16	8:00	27.2	35.6	6.18	94.7	8.06	3.28	48.57	13.29	3.89	256.82	2.44	1.55	1	"2(2,2,2)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Camp Olowalu	OCO	8/25/16	7:45	28.2	36.5	5.49	85.7	7.99	2.68	66.51	13.81	4.95	238.92	5.16	1.50	2	"1(1,1,1)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Camp Olowalu	OCO	9/8/16	7:35	25.8	36.0	6.53	98.0	8.12	34.60	92.16	12.98	5.25	259.77	4.71	4.29	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Camp Olowalu	OCO	9/22/16	7:52	26.6	36.7	6.44	98.6	7.86	26.07	62.81	14.25	7.22	915.02	4.44	4.86	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Camp Olowalu	OCO	10/6/16	7:55	26.8	34.9	6.23	94.5	8.06	9.11	61.49	12.19	5.14	330.13	3.23	3.27	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Camp Olowalu	OCO	10/20/16	7:40	25.7	36.6	5.95	89.7	8.01	2.54	61.12	13.01	5.03	191.78	1.50	3.31	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Camp Olowalu	OCO	11/3/16	7:37	25.1	34.9	6.08	89.4	8.11	1.28	58.51	16.20	4.77	113.51	3.92	3.10	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	11/17/16	8:05	25.0	34.8	6.02	88.4	8.05	0.69	62.82	5.14	3.48	107.68	6.76	1.56	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	12/1/16	7:40	23.5	34.7	6.53	93.5	8.06	3.67	61.55	6.50	3.16	291.07	5.08	2.14	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	12/15/16	8:25	24.8	34.4	6.08	89.2	7.85	1.52	60.62	7.91	3.80	217.09	14.94	3.16	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	1/5/17	7:15	23.3	34.9	6.63	94.5	7.87	7.99	77.67	9.54	5.63	360.48	12.58	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	1/26/17	7:50	22.6	35.1	6.56	92.3	8.02	2.44	76.55	10.03	6.31	264.47	6.34	6.80	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	2/17/17	7:40	25.6	35.1	6.18	91.6	8.08	2.63	99.69	11.06	5.98	161.36	7.09	8.75	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	3/9/17	7:50	25.4	34.5	6.26	92.1	8.09	4.60	89.82	10.30	6.08	153.49	8.37	7.69	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	3/30/17	7:42	26.0	34.5	6.41	95.3	8.08	7.74	62.05	8.50	4.77	179.25	3.86	8.65	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	4/20/17	7:30	27.1	34.3	6.16	93.6	8.09	13.33	92.19	8.65	6.75	492.01	4.96	4.66	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	5/11/17	7:44	25.1	34.3	6.46	94.8	8.11	1.85	64.66	9.25	4.86	286.27	5.27	1.86	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	6/1/17	7:45	25.8	34.6	6.45	96.1	8.09	5.85	62.10	7.93	5.01	360.92	8.71	2.91	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	6/22/17	7:45	26.0	34.3	6.38	95.5	8.20	15.00	75.23	8.78	8.08	659.60	8.11	3.37	1	"2 (3,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	7/13/17	7:39	26.9	34.5	6.13	93.1	8.08	2.53	71.99	7.78	4.71	219.15	7.67	3.19	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	8/3/17	7:38	27.8	34.4	6.22	95.7	8.04	6.29	70.15	7.41	5.38	404.69	5.50	1.76	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	8/24/17	7:50	25.8	35.3	6.49	97.2	8.07	3.53	94.78	8.03	5.58	258.22	3.68	2.57	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Camp Olowalu	OCO	9/14/17	7:37	28.5	34.7	6.13	95.7	8.02	4.60	46.81	13.24	5.22	523.58	4.48	3.57	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
