Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Papalaua Pali	OPP	6/16/16	10:00	26.0	36.0	7.01	104.6	8.07	5.37	122.85	20.40	6.52	145.40	3.26	4.45	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Papalaua Pali	OPP	6/30/16	9:15	27.7	29.5	6.70	103.1	8.07	4.54	60.96	12.42	4.49	72.63	0.41	3.48	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
Papalaua Pali	OPP	7/14/16	9:48	28.4	37.5	6.69	106.7	8.05	2.41	59.68	12.45	4.42	149.82	1.30	1.92	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
Papalaua Pali	OPP	7/28/16	9:30	26.8	35.3	6.86	104.2	8.11	1.66	71.58	11.41	2.85	156.17	1.97	7.43	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. Acid washed bottle."
Papalaua Pali	OPP	8/11/16	9:40	27.3	35.3	7.17	109.9	8.14	2.33	50.55	8.52	4.06	180.81	3.06	1.50	1	"2(2,2,2)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF. "
Papalaua Pali	OPP	8/25/16	8:35	27.9	36.0	6.57	101.9	8.05	2.97	59.46	12.41	4.08	164.99	4.22	1.50	2	"1(1,1,1)"	"Washed and distilled water rinsed syringes, filter holders. Acid washed bottles. Filters 0.7 um GFF."
Papalaua Pali	OPP	9/8/16																No collection due to high surf and shore break
Papalaua Pali	OPP	9/22/16	9:25	27.6	36.1	6.50	100.6	8.03	13.03	69.16	11.45	5.68	303.01	8.82	11.87	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Pali	OPP	10/6/16	9:22	28.1	34.9	6.47	100.2	8.10	4.07	55.67	12.38	4.64	110.70	2.53	7.04	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Pali	OPP	10/20/16	9:10	26.0	35.9	6.60	98.9	8.09	4.38	64.65	9.36	5.40	185.87	2.37	3.18	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Papalaua Pali	OPP	11/3/16	9:02	25.7	34.7	6.87	101.9	8.17	3.56	58.91	16.34	4.94	164.01	2.31	3.18	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	11/17/16	9:25	25.7	34.6	6.56	97.4	8.06	2.33	59.46	3.95	3.35	165.43	6.71	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	12/1/16	9:05	24.2	34.7	6.71	97.0	8.11	5.37	57.89	3.82	2.51	171.20	2.60	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	12/15/16	9:30	25.3	34.9	6.77	100.5	7.97	5.17	59.82	10.64	5.05	171.01	16.61	2.91	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	1/5/17	8:15	24.3	35.3	8.12	96.7	8.04	8.69	72.55	14.42	5.17	103.37	9.07	1.61	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	1/26/17	9:10	23.5	35.2	7.02	100.3	8.08	3.88	72.52	15.62	5.50	84.73	2.24	5.64	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	2/17/17	9:14	25.5	35.1	6.73	99.6	8.15	3.70	76.73	9.13	6.25	127.75	10.41	8.03	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	3/9/17	8:45	25.4	34.5	6.78	100.5	8.14	6.89	65.09	6.80	4.90	64.40	6.27	5.77	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	3/30/17	9:20	26.5	34.4	6.79	101.9	8.13	3.96	63.57	9.18	5.45	65.90	1.90	6.91	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	4/20/17	8:40	26.7	34.6	6.50	98.2	8.11	5.31	81.48	6.06	4.22	90.27	3.16	3.37	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
Papalaua Pali	OPP	5/11/17	9:06	25.1	34.4	6.98	102.7	8.20	3.51	67.97	9.75	5.05	79.39	1.63	2.58	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, new syringe filter holders"
