Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
505 Front Street	PFF	6/15/16	7:37	26.7	27.8	6.27	94.7	8.05	2.89	65.90	17.64	7.82	461.59	2.70	1.84	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
505 Front Street	PFF	6/29/16	7:43	27.0	30.1	6.34	96.5	7.98	1.65	63.47	15.83	6.80	317.31	2.06	2.91	1	"1(1,1,1)"	"Used syringe, washed. Disposable 0.2um filter. New bottles"
505 Front Street	PFF	7/13/16	7:35	26.9	36.2	5.90	90.6	8.04	2.64	69.41	17.38	8.43	405.40	3.10	1.50	1	"1(1,1,1)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
505 Front Street	PFF	7/27/16	7:28	27.4	34.7	5.90	90.2	8.04	5.01	71.18	13.84	9.21	483.78	3.08	9.48	1	"2(2,2,2)"	"New syringes. Swinnex filter holders, washed rinsed DI. 0.7 GFF filters. New bottle."
505 Front Street	PFF	8/10/16	7:26	27.0	34.6	5.87	89.0	8.06	0.96	50.94	13.33	6.11	258.54	4.44	1.50	1	"2(2,2,2)"	"New bottles, washed and distilled water rinsed syringes and filter holders.  0.7 um GFF filters used."
505 Front Street	PFF	8/24/16	7:32	27.9	35.0	6.12	94.6	8.05	4.43	69.42	21.92	13.31	547.85	4.31	5.09	1	"2(2,2,2)"	"Washed rinsed syringes, washed rinsed filter holders, 0.7 um GFF filters, acid washed bottles"
505 Front Street	PFF	9/7/16	7:48	27.1	34.5	6.18	94.1	8.00	6.47	61.97	20.83	12.84	903.66	6.45	2.04	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
505 Front Street	PFF	9/21/16	7:22	27.0	33.1	6.31	94.9	8.04	12.37	79.95	24.54	15.91	1564.76	14.28	6.90	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
505 Front Street	PFF	10/5/16	8:16	27.6	35.5	5.90	91.3	7.79	3.32	78.97	12.60	8.91	459.10	4.15	3.09	1	"1(1,1,1)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
505 Front Street	PFF	10/19/16	8:21	27.1	33.5	6.26	94.5	8.09	8.22	66.81	27.85	12.49	768.82	3.60	3.18	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
505 Front Street	PFF	11/2/16	8:20	25.6	32.8	5.88	86.0	7.99	5.64	73.98	25.03	14.66	1383.13	4.85	3.18	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	11/16/16	8:16	26.1	33.7	6.20	92.1	8.05	7.39	70.63	9.91	8.01	732.59	7.16	1.50	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	11/30/16	8:24	25.0	34.0	6.35	92.8	8.07	9.30	70.03	9.69	8.11	663.05	5.74	2.21	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	12/14/16	8:16	24.2	34.8	6.56	95.1	8.03	4.31	53.94	10.64	4.74	147.19	5.60	1.70	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	1/4/17	8:15	23.4	34.1	6.72	95.6	8.08	5.57	89.72	17.00	12.86	920.80	8.49	2.39	2	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	1/25/17	8:22	23.8	35.2	6.16	88.5	7.87	6.31	80.46	17.65	15.38	206.96	6.16	6.27	1	"2(2,2,2)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	2/15/17	8:33	24.9	33.8	6.38	93.1	8.10	4.18	80.69	13.70	11.52	486.27	5.23	7.38	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	3/8/17	8:30	24.5	34.0	6.33	91.8	8.10	1.81	96.43	10.88	9.02	396.10	2.53	7.35	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	3/29/17	8:21	25.4	33.1	6.23	90.8	8.07	11.33	73.70	21.64	14.61	701.31	6.16	10.74	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	4/19/17	8:18	25.8	32.7	6.44	94.7	8.12	2.18	90.59	14.16	10.60	690.76	3.47	3.86	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	5/10/17	8:17	25.5	34.2	6.46	95.6	8.14	2.24	64.53	8.41	6.17	296.93	3.01	1.92	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	5/31/17	8:12	26.4	34.0	6.21	92.8	8.07	3.94	70.51	12.12	11.89	1061.01	7.05	4.60	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
505 Front Street	PFF	6/21/17	8:15	26.9	33.4	6.47	97.6	8.08	4.88	68.12	13.03	6.59	159.65	3.04	2.52	2	"1 (2,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
