Location	Location Code	Date	Time	Temp (degrees C)	Salinity (ppt)	DO (mg/L)	DO sat (percent)	pH	Turbidity (NTU)	Total N (ug/L)	Total P (ug/L)	Phosphate (ug/L)	Silicate (ug/L)	NNN (ug/L)	NH4 (ug/L)	Equipment Turbidity	Equipment HQ40D	Comments QA/QC Notes
Napili south	RNS	2/14/17	7:52	24.2	34.90	6.80	98.7	8.15	0.84	80.51	11.10	6.75	205.37	12.88	6.65	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	3/7/17	7:40	24.2	34.50	6.75	97.9	8.16	1.80	224.47	15.19	9.21	171.59	16.23	15.98	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	3/28/17	7:41	24.4	34.40	6.75	97.6	8.11	0.84	109.54	14.07	8.81	326.90	26.32	9.00	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	4/18/17	7:48	24.8	34.00	6.84	99.5	8.15	1.00	161.44	13.29	9.28	437.66	20.27	6.27	1	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	5/9/17	7:35	25.3	33.20	7.20	102.6	8.12	0.75	137.54	17.93	13.54	1088.85	56.57	5.10	1	"1 (3,1,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	5/30/17	7:40	25.7	33.90	6.92	102.2	8.09	1.07	102.75	11.34	8.89	692.06	36.12	4.31	1	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	6/20/17	7:41	26.2	33.60	6.90	102.9	8.10	1.94	121.24	21.68	11.42	749.69	43.88	3.03	2	"1 (2,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	7/11/17	7:55	26.6	32.80	6.60	98.6	8.08	0.83	142.77	17.73	13.49	1216.76	83.53	7.87	2	"2 (2,2,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	8/1/17	8:00	26.9	32.90	6.75	101.4	8.09	0.74	161.70	23.25	14.27	907.91	64.75	5.73	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	8/22/17	7:55	26.4	33.60	6.61	99.0	8.04	1.52	149.64	16.31	12.25	784.04	48.67	5.90	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	9/12/17	7:56	27.1	34.40	6.31	96.5	8.08	1.20	73.31	16.52	7.37	407.56	17.93	8.81	2	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	10/3/17	8:14	27.0	33.70	6.59	101.0	8.14	2.44	117.08	13.06	10.70	608.57	37.65	7.10	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.7 um filters, washed, rinsed syringe filter holders"
Napili south	RNS	10/24/17	8:24	26.3	33.50	6.31	94.8	8.10	16.73	78.71	13.59	12.43	205.27	21.68	8.31	3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Napili south	RNS	11/14/17	8:16	26.0	34.90	6.71	100.8	8.16	1.14	77.52	12.09	8.87	281.77	14.03	5.81	1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Napili south	RNS	12/5/17	8:06	24.2	35.20	6.89	100.0	8.17	1.09							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Napili south	RNS	12/19/17	8:21	24.8	35.20	6.72	98.9	8.16	1.17							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Napili south	RNS	1/9/18	8:15	23.6	34.00	6.95	99.3	8.10	0.55							3	"2 (2,1,3)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
Napili south	RNS	1/30/18	8:15	23.7	34.50	6.89	99.8	8.18	1.98							1	"1 (3,2,4)"	"Washed, rinsed syringes; acid washed bottles, 0.2 um disposable filters"
									1.32	117.80	15.14	10.26	480.91	30.26	6.64			Geometric Mean
			7:45	25.41	34.07	6.75	99.53	8.12	2.09	124.16	15.51	10.52	577.43	35.75	7.13			Arithmetric Mean
				1.19	0.74	0.22	2.11	0.04	3.69	42.51	3.68	2.40	340.38	21.51	3.06			Standard deviation
									6.59	1.07	0.95	1.71	480.91	8.65	3.32			Normalized geometric mean
